episode,step,time_s,u1_rpm,u2_rpm,u3_rpm,u4_rpm,du1_rpm,du2_rpm,du3_rpm,du4_rpm
1,0,0.0,5304.194837808609,9029.743373394012,10000.0,7674.592435359955,0.0,0.0,0.0,0.0
1,1,0.02,7028.137892484665,8475.22348165512,9976.460039615631,8527.681529521942,1723.943054676056,-554.5198917388916,-23.539960384368896,853.0890941619873
1,2,0.04,8209.91575717926,8619.874715805054,9369.085729122162,8980.04174232483,1181.7778646945953,144.65123414993286,-607.3743104934692,452.36021280288696
1,3,0.06,9010.999500751495,8744.443953037262,8619.202971458435,9186.779260635376,801.0837435722351,124.56923723220825,-749.8827576637268,206.73751831054688
1,4,0.08,9665.037095546722,8913.674354553223,8294.481635093689,9310.302436351776,654.037594795227,169.2304015159607,-324.7213363647461,123.52317571640015
1,5,0.1,9890.13284444809,9071.30092382431,8138.7293338775635,9325.122833251953,225.0957489013672,157.62656927108765,-155.7523012161255,14.820396900177002
1,6,0.12,9843.603372573853,9177.714586257935,8169.910609722137,9261.749684810638,-46.52947187423706,106.41366243362427,31.181275844573975,-63.3731484413147
1,7,0.14,9688.060879707336,9235.387742519379,8317.120969295502,9133.442044258118,-155.5424928665161,57.67315626144409,147.21035957336426,-128.30764055252075
1,8,0.16,9367.881417274475,9246.844053268433,8527.783453464508,8998.606204986572,-320.1794624328613,11.456310749053955,210.66248416900635,-134.8358392715454
1,9,0.18,8964.811265468597,9148.03922176361,8789.142966270447,8943.705260753632,-403.0701518058777,-98.80483150482178,261.3595128059387,-54.900944232940674
1,10,0.2,8688.115775585175,9005.101919174194,8954.10031080246,8912.989795207977,-276.69548988342285,-142.9373025894165,164.95734453201294,-30.715465545654297
1,11,0.22,8638.044893741608,8944.908082485199,8966.361284255981,8890.07031917572,-50.070881843566895,-60.19383668899536,12.260973453521729,-22.91947603225708
1,12,0.24,8683.569431304932,8906.419277191162,8889.009952545166,8860.017657279968,45.524537563323975,-38.488805294036865,-77.35133171081543,-30.052661895751953
1,13,0.26,8729.607164859772,8862.371444702148,8795.38208246231,8829.230964183807,46.03773355484009,-44.04783248901367,-93.62787008285522,-30.78669309616089
1,14,0.28,8745.99665403366,8817.92962551117,8719.903528690338,8799.124956130981,16.38948917388916,-44.441819190979004,-75.47855377197266,-30.106008052825928
1,15,0.3,8717.087805271149,8769.601285457611,8678.17223072052,8764.66453075409,-28.908848762512207,-48.32834005355835,-41.731297969818115,-34.46042537689209
1,16,0.32,8644.019663333893,8716.377317905426,8654.861152172089,8724.771440029144,-73.06814193725586,-53.22396755218506,-23.311078548431396,-39.89309072494507
1,17,0.34,8552.561104297638,8672.960698604584,8646.310865879059,8681.07259273529,-91.45855903625488,-43.416619300842285,-8.550286293029785,-43.69884729385376
1,18,0.36,8462.252914905548,8635.444641113281,8641.733229160309,8635.506331920624,-90.30818939208984,-37.51605749130249,-4.57763671875,-45.56626081466675
1,19,0.38,8384.838104248047,8598.975837230682,8633.815050125122,8593.236804008484,-77.41481065750122,-36.46880388259888,-7.918179035186768,-42.26952791213989
1,20,0.4,8314.017355442047,8562.544584274292,8626.454472541809,8555.279970169067,-70.82074880599976,-36.43125295639038,-7.360577583312988,-37.956833839416504
1,21,0.42,8251.792192459106,8528.176844120026,8615.224957466125,8518.04792881012,-62.225162982940674,-34.36774015426636,-11.229515075683594,-37.232041358947754
1,22,0.44,8195.864856243134,8495.637774467468,8600.111603736877,8480.453193187714,-55.9273362159729,-32.53906965255737,-15.113353729248047,-37.594735622406006
1,23,0.46,8144.67579126358,8462.75806427002,8584.79619026184,8446.257412433624,-51.18906497955322,-32.87971019744873,-15.315413475036621,-34.195780754089355
1,24,0.48,8096.848726272583,8432.89166688919,8569.738566875458,8413.928747177124,-47.827064990997314,-29.866397380828857,-15.057623386383057,-32.328665256500244
1,25,0.5,8050.92990398407,8404.14673089981,8555.128574371338,8382.692635059357,-45.918822288513184,-28.744935989379883,-14.609992504119873,-31.236112117767334
1,26,0.52,8006.304204463959,8375.90217590332,8539.453446865082,8351.72563791275,-44.625699520111084,-28.24455499649048,-15.675127506256104,-30.966997146606445
1,27,0.54,7963.147759437561,8349.040150642395,8524.275124073029,8321.792185306549,-43.156445026397705,-26.862025260925293,-15.178322792053223,-29.933452606201172
1,28,0.56,7921.180725097656,8322.5679397583,8509.19097661972,8293.326795101166,-41.967034339904785,-26.47221088409424,-15.084147453308105,-28.4653902053833
1,29,0.58,7881.538569927216,8296.962082386017,8494.023382663727,8266.378939151764,-39.642155170440674,-25.605857372283936,-15.167593955993652,-26.947855949401855
1,30,0.6,7844.259142875671,8272.299766540527,8478.850424289703,8239.800930023193,-37.27942705154419,-24.662315845489502,-15.172958374023438,-26.578009128570557
1,31,0.62,7809.339761734009,8247.943818569183,8463.80203962326,8213.735222816467,-34.9193811416626,-24.355947971343994,-15.048384666442871,-26.065707206726074
1,32,0.64,7776.137888431549,8223.918974399567,8449.864983558655,8188.124299049377,-33.20187330245972,-24.0248441696167,-13.937056064605713,-25.610923767089844
1,33,0.66,7744.673788547516,8200.229108333588,8436.7036819458,8163.404762744904,-31.464099884033203,-23.689866065979004,-13.161301612854004,-24.719536304473877
1,34,0.68,7715.157568454742,8176.60927772522,8424.284756183624,8140.324354171753,-29.516220092773438,-23.61983060836792,-12.418925762176514,-23.080408573150635
1,35,0.7000000000000001,7687.939405441284,8153.707981109619,8412.173688411713,8118.259310722351,-27.218163013458252,-22.901296615600586,-12.111067771911621,-22.065043449401855
1,36,0.72,7661.651372909546,8131.100535392761,8400.497734546661,8096.394836902618,-26.28803253173828,-22.60744571685791,-11.67595386505127,-21.864473819732666
1,37,0.74,7636.5727186203,8108.538091182709,8390.38461446762,8075.140118598938,-25.078654289245605,-22.56244421005249,-10.113120079040527,-21.25471830368042
1,38,0.76,7613.224983215332,8085.76375246048,8380.558788776398,8055.097460746765,-23.34773540496826,-22.774338722229004,-9.825825691223145,-20.04265785217285
1,39,0.78,7591.038942337036,8062.957227230072,8371.49292230606,8037.344217300415,-22.1860408782959,-22.806525230407715,-9.065866470336914,-17.753243446350098
