episode,step,time_s,u1_rpm,u2_rpm,u3_rpm,u4_rpm,du1_rpm,du2_rpm,du3_rpm,du4_rpm
1,0,0.0,5000.0,9189.26328420639,10000.0,8131.566047668457,0.0,0.0,0.0,0.0
1,1,0.01,5118.6111103743315,8828.620612621307,10000.0,8059.438765048981,118.61111037433147,-360.642671585083,0.0,-72.12728261947632
1,2,0.02,5408.393666148186,8777.340948581696,10000.0,8341.494500637054,289.78255577385426,-51.279664039611816,0.0,282.05573558807373
1,3,0.03,6086.3275825977325,8758.356869220734,10000.0,8426.089584827423,677.9339164495468,-18.984079360961914,0.0,84.59508419036865
1,4,0.04,6745.9723353385925,8692.671656608582,10000.0,8516.65049791336,659.64475274086,-65.6852126121521,0.0,90.5609130859375
1,5,0.05,7325.320243835449,8683.499991893768,9969.047904014587,8773.283660411835,579.3479084968567,-9.171664714813232,-30.952095985412598,256.6331624984741
1,6,0.06,7928.209006786346,8655.750155448914,9700.700640678406,8899.103105068207,602.8887629508972,-27.749836444854736,-268.34726333618164,125.81944465637207
1,7,0.07,8463.774621486664,8614.921271800995,9265.354871749878,9014.104902744293,535.5656147003174,-40.8288836479187,-435.34576892852783,115.00179767608643
1,8,0.08,8993.419706821442,8656.641840934753,8882.90822505951,9183.669984340668,529.6450853347778,41.720569133758545,-382.44664669036865,169.5650815963745
1,9,0.09,9582.172930240631,8684.83304977417,8567.094206809998,9176.759719848633,588.7532234191895,28.191208839416504,-315.8140182495117,-6.910264492034912
1,10,0.1,9957.813918590546,8746.675848960876,8201.281428337097,9245.17959356308,375.64098834991455,61.84279918670654,-365.8127784729004,68.41987371444702
1,11,0.11,10000.0,8791.965544223785,8052.5583028793335,9323.315024375916,42.186081409454346,45.289695262908936,-148.72312545776367,78.1354308128357
1,12,0.12,10000.0,8856.106102466583,7903.952598571777,9408.973753452301,0.0,64.14055824279785,-148.60570430755615,85.6587290763855
1,13,0.13,10000.0,8945.109248161316,7816.275954246521,9465.261697769165,0.0,89.00314569473267,-87.67664432525635,56.287944316864014
1,14,0.14,10000.0,9001.66779756546,7768.808305263519,9419.30741071701,0.0,56.55854940414429,-47.46764898300171,-45.95428705215454
1,15,0.15,10000.0,9073.523879051208,7791.333198547363,9357.398450374603,0.0,71.85608148574829,22.524893283843994,-61.90896034240723
1,16,0.16,9998.184144496918,9127.338826656342,7845.622897148132,9290.486872196198,-1.8158555030822754,53.81494760513306,54.28969860076904,-66.91157817840576
1,17,0.17,9991.909563541412,9171.858727931976,7915.967702865601,9226.333796977997,-6.274580955505371,44.519901275634766,70.34480571746826,-64.15307521820068
1,18,0.18,9978.86449098587,9215.721189975739,8015.2106285095215,9179.072380065918,-13.045072555541992,43.86246204376221,99.2429256439209,-47.26141691207886
1,19,0.19,9955.796301364899,9240.61805009842,8126.5681982040405,9125.215113162994,-23.06818962097168,24.896860122680664,111.35756969451904,-53.857266902923584
1,20,0.2,9913.071095943451,9258.446991443634,8255.592584609985,9101.402461528778,-42.725205421447754,17.828941345214844,129.02438640594482,-23.81265163421631
1,21,0.21,9875.118434429169,9283.975660800934,8360.602855682373,9028.757512569427,-37.95266151428223,25.528669357299805,105.0102710723877,-72.64494895935059
1,22,0.22,9813.919067382812,9310.731887817383,8486.012816429138,8986.239731311798,-61.1993670463562,26.756227016448975,125.40996074676514,-42.517781257629395
1,23,0.23,9731.478989124298,9344.174563884735,8601.102232933044,8946.67536020279,-82.4400782585144,33.442676067352295,115.08941650390625,-39.56437110900879
1,24,0.24,9651.70294046402,9357.475638389587,8740.995526313782,8917.21397638321,-79.77604866027832,13.301074504852295,139.8932933807373,-29.461383819580078
1,25,0.25,9558.238685131073,9343.893826007843,8879.419565200806,8906.180560588837,-93.46425533294678,-13.581812381744385,138.42403888702393,-11.033415794372559
1,26,0.26,9491.240382194519,9328.359365463257,9012.337923049927,8904.450833797455,-66.99830293655396,-15.534460544586182,132.9183578491211,-1.729726791381836
1,27,0.27,9392.129480838776,9293.06834936142,9153.628945350647,8907.114565372467,-99.11090135574341,-35.29101610183716,141.29102230072021,2.663731575012207
1,28,0.28,9260.39844751358,9236.071705818176,9268.011450767517,8900.12413263321,-131.7310333251953,-56.99664354324341,114.38250541687012,-6.9904327392578125
1,29,0.29,9133.726358413696,9181.636571884155,9346.83620929718,8901.486098766327,-126.67208909988403,-54.435133934020996,78.82475852966309,1.3619661331176758
1,30,0.3,9012.419283390045,9124.54754114151,9407.6007604599,8894.676268100739,-121.30707502365112,-57.089030742645264,60.76455116271973,-6.809830665588379
