tau,steps,gates_passed,final_x_enu,final_y_enu,final_z_enu,rpm_ref_std_rpm,rpm_ref_mean_abs_delta_rpm,rpm_ref_rms_delta_rpm,rpm_ref_max_abs_delta_rpm,rpm_obs_std_rpm,rpm_obs_mean_abs_delta_rpm,rpm_obs_rms_delta_rpm,rpm_obs_max_abs_delta_rpm
0.02,2000,0,-2.1834849341993405,1.204380684669752,1.7633496182393302,1938.270940334674,762.6913757454333,1060.5180957652956,3125.622421503067,1362.2086512121227,590.8295264677656,695.7531116225124,1513.913486511613
0.04,2000,0,-1.9864887036732077,1.3209407661842083,1.556631509089802,1626.368603738304,490.0405893666952,604.9726402913908,1540.2907133102417,954.5726980606156,281.21418275859577,329.95632822403155,661.6065692327975
0.06,2000,0,-1.996767477902728,1.370704981401571,1.4751231455260674,1446.6706064534822,474.91351399146043,547.693321263369,1388.4242251515388,638.8315216784233,181.50432277804344,216.53273679515638,433.1919406185807
