t,dx,dy,dz,vx,vy,vz,phi,theta,psi,p,q,r,Mx_ext,My_ext,Mz_ext,omega1,omega2,omega3,omega4,dt_step,u1,u2,u3,u4,rpm1_cmd,rpm2_cmd,rpm3_cmd,rpm4_cmd,repeated_last
0.0,1.80841242269434,0.25662944678027266,0.01762849558940749,0.3002033076200261,-0.48599206248157684,-0.13508582572363453,0.18377358671664398,0.40555105315726253,0.9577949477531743,-0.5897142595783156,-0.5287622581142304,-0.5825868602125024,-0.004259778786801789,-0.018298248433726707,0.00460517143621165,9261.451831209102,8706.563365489586,6851.667206882743,8192.27356811401,0.007601086069110509,0.0,0.0,0.9999999999999999,1.0,5000.0,5000.0,10000.0,10000.0,0
0.007601086069110509,1.8051354810651827,0.2681696542945143,0.013697454234405633,0.27172478756224516,-0.47077025278097995,-0.1610191667725293,0.1784695073560809,0.40313442365461905,0.9524435559253517,-0.2583558665085314,-0.35968170215883416,-0.5757271736342544,-0.004259778786801789,-0.018298248433726707,0.00460517143621165,8754.34966349108,8265.491544928687,7226.310977908194,8407.388516859177,0.007601086069110509,0.0,0.0,1.0,1.0,5000.0,5000.0,10000.0,10000.0,0
0.015202172138221018,1.8020192652576166,0.2795191259580644,0.010431737520406104,0.24339784152367674,-0.45632617497153855,-0.18301283380797442,0.1756255809970468,0.40127834773454063,0.9472873610041412,0.03467805617716836,-0.37072611708680203,-0.5672964889125888,-0.004259778786801789,-0.018298248433726707,0.00460517143621165,8307.662768736636,7876.9682562655,7556.320339673552,8596.875043613036,0.007601086069110509,0.0,0.0,1.0,1.0,5000.0,5000.0,10000.0,10000.0,0
0.022803258207331527,1.7990824116182877,0.2906711914624365,0.005473856255686308,0.2150228199773383,-0.44255855079004786,-0.20150595726590342,0.17485575848556006,0.39871286438747444,0.9420637703641803,0.293022786260903,-0.5359737019703993,-0.5633301219444751,-0.004259778786801789,-0.018298248433726707,0.00460517143621165,7930.576349314357,7534.616190113256,7847.112140697083,8751.857675729467,0.007601086069110509,0.054440249838078554,0.0,1.0,0.9604953497920056,5272.201249190392,5000.0,10000.0,9802.476748960027,0
0.030404344276442036,1.7962877335071723,0.3017129600428005,-0.0030384989841544087,0.1864772585382777,-0.4293355088820258,-0.2180336283154138,0.17582069483318633,0.3944301711465782,0.936509465923856,0.5202926521478066,-0.8300701231657859,-0.5690575909280673,-0.004259778786801789,-0.018298248433726707,0.00460517143621165,7630.844936887301,7233.051355495258,8103.259510770014,8864.843368160158,0.007601086069110509,0.10888049967615711,0.0,1.0,0.9209906995840111,5544.402498380786,5000.0,10000.0,9604.953497920054,0
0.038005430345552545,1.7935613481898627,0.3127438261627118,-0.016726979688026614,0.15768896839014684,-0.4165297119447692,-0.23266397083345233,0.17820556239448304,0.38755142845072066,0.9303659336714226,0.717484638387787,-1.2265160918115057,-0.5852635280473797,-0.004259778786801789,-0.018298248433726707,0.00460517143621165,7416.350206118014,6995.989136985821,8328.966910924602,8921.33648068444,0.007601086069110502,0.2202405060991689,0.09448005998078415,1.0,0.8169100956132671,6101.202530495844,5472.40029990392,10000.0,9084.550478066336,0
0.04560651641466305,1.7907266415664993,0.3238468642020234,-0.036656379865332434,0.12867662237087293,-0.40400927239671913,-0.24629809557911334,0.18169436542821085,0.3774874829682899,0.9234113028897036,0.8774285524434841,-1.6944229753438247,-0.6126505986622399,-0.004259778786801789,-0.018298248433726707,0.00460517143621165,7293.7461959992215,6843.451052735664,8527.783922793924,8909.099188315973,0.007601086069110509,0.3316005125221807,0.1889601199615683,1.0,0.712829491642523,6658.002562610904,5944.8005998078415,10000.0,8564.147458212614,0
0.053207602483773556,1.7875493427153626,0.33505237005468663,-0.06357602464072512,0.09950336438692736,-0.3916482912967004,-0.2588372882423223,0.18595495358053193,0.36380473250244294,0.9154738011811597,0.9939291314077758,-2.203655950044288,-0.6417720180193458,-0.004259778786801789,-0.018298248433726707,0.00460517143621165,7242.543035817822,6762.157484968549,8680.266700754742,8849.269091128863,0.007601086069110516,0.41218283262078903,0.2734806276171314,0.9251575362683859,0.6509255962988342,7060.914163103946,6367.403138085657,9625.78768134193,8254.62798149417,0
0.06080868855288407,1.783696522143739,0.346222248573354,-0.09770294360225576,0.0702888251916519,-0.37933319921270736,-0.2705575236117056,0.19071500898600507,0.3463284991573165,0.9065259133311822,1.0706056670529935,-2.7293728597590907,-0.6642551037503506,-0.004259778786801789,-0.018298248433726707,0.00460517143621165,7245.442320803236,6740.897225536486,8769.999938176223,8759.691434217497,0.007601086069110502,0.4927651527193974,0.35800113527269445,0.850315072536772,0.5890217009551454,7463.825763596988,6790.005676363472,9251.57536268386,7945.108504775727,0
0.06840977462199457,1.7787827720132041,0.3571959094243564,-0.13903253441596922,0.04119176879193767,-0.36696401441768556,-0.28127766550386774,0.19575489701943893,0.32499849340296805,0.8965786111662206,1.1131346027674296,-3.249467560771433,-0.6823367743434666,-0.004259778786801789,-0.018298248433726707,0.00460517143621165,7295.052712767144,6768.789071096537,8813.781893345216,8647.8852799817,0.007601086069110516,0.570626830426534,0.4306708596316061,0.8057393279000049,0.5400013767994511,7853.13415213267,7153.35429815803,9028.696639500024,7700.0068839972555,0
0.07601086069110509,1.7723339341658944,0.3678706053518625,-0.18719328955690726,0.012453882619027384,-0.35445093210006984,-0.290960006655802,0.2009268194675755,0.29994688044042683,0.8856600509586959,1.1261739640274009,-3.7479249260677223,-0.6980958311245398,-0.004259778786801789,-0.018298248433726707,0.00460517143621165,7385.134135017549,6836.646655306239,8825.79435767603,8520.19853499193,0.007601086069110516,0.6484885081336704,0.5033405839905178,0.7611635832632379,0.490981052643757,8242.442540668351,7516.70291995259,8805.81791631619,7454.905263218785,0
0.0836119467602156,1.763853264279616,0.3781661197269959,-0.2416678520212428,-0.015650805285227457,-0.34171273750442954,-0.2994017009274015,0.2061141543281232,0.2713779589627994,0.8738103609234877,1.1142501158396798,-4.211139819801452,-0.7113127221218919,-0.004259778786801789,-0.018298248433726707,0.00460517143621165,7507.893395685135,6936.53033167251,8812.04056559348,8383.828481517061,0.007601086069110488,0.7168524803110898,0.5658277766708693,0.7236665156652808,0.45933051019144844,8584.26240155545,7829.138883354346,8618.332578326404,7296.652550957242,0
0.0912130328293261,1.7528524383884068,0.38803035827343085,-0.30169822795040907,-0.04280772861612607,-0.32868342799080486,-0.30679477806753946,0.21126156456921327,0.2396095267433119,0.8610984713884523,1.0823488121598723,-4.629345000625634,-0.7218402953615243,-0.004259778786801789,-0.018298248433726707,0.00460517143621165,7656.751156419055,7061.7371189575715,8777.588698376281,8244.851366018152,0.007601086069110516,0.7852164524885091,0.6283149693512208,0.6861694480673237,0.4276799677391399,8926.082262442545,8141.574846756104,8430.847240336618,7138.399838695699,0
